cytotype,lat,lon
2X,35.085629,-79.428543
2X,35.143899,-78.966303
2X,35.253418,-79.030944
2X,35.072211,-79.431094
2X,34.974902,-79.654324
2X,35.112591,-79.386016
2X,35.000207,-79.210306
2X,35.305147,-78.781391
2X,35.05706,-79.501005
2X,34.810093,-79.06226
2X,34.954675,-79.220895
2X,34.943432,-79.446673
2X,35.504613,-78.813916
2X,35.253396,-79.031059
2X,35.142741,-78.966518
2X,35.113715,-79.386016
2X,35.085629,-79.428543
2X,34.954675,-79.220895
2X,35.000207,-79.210306
2X,35.072211,-79.431094
2X,35.05706,-79.501005
2X,34.974902,-79.654324
2X,34.943432,-79.446673
2X,34.810093,-79.06226
2X,34.874473,-79.658331
2X,34.827989,-79.591719
2X,34.618538,-79.877121
2X,34.624627,-80.084345
2X,34.522147,-80.037214
2X,34.381971,-80.076904
2X,34.42847,-80.187742
4X,35.057813,-78.876529
4X,35.042303,-78.795813
4X,35.042576,-78.775148
4X,34.964678,-78.849134
4X,34.851521,-79.04447
4X,34.79964,-78.907977
4X,34.805996,-78.884074
4X,34.866685,-77.882982
4X,34.61356,-77.782587
4X,34.656404,-78.493049
4X,34.553387,-78.254495
4X,34.50187,-79.111646
4X,34.076424,-77.894628
4X,34.041226,-77.896002
4X,33.958734,-78.07501
4X,33.822995,-81.628356
4X,33.976895,-81.344135
4X,34.035944,-81.003655
4X,33.982794,-81.09398
4X,34.280004,-80.559274
4X,33.889416,-81.162162
4X,33.808982,-81.63445
4X,33.572222,-81.707039
4X,33.571984,-81.55246
4X,33.489466,-82.255026
4X,33.514182,-79.086768
4X,33.510333,-79.252075
4X,33.373633,-79.822779
4X,32.871024,-81.648949
4X,32.636978,-81.4568
4X,32.531709,-82.606514
4X,32.446423,-82.380374
4X,32.578761,-82.1391
4X,32.586165,-82.150927
4X,31.542942,-83.38381
4X,30.370885,-82.152103
4X,30.549138,-81.621015
4X,30.318971,-81.804044
4X,30.131277,-82.040427
4X,30.158976,-82.030106
4X,29.787301,-81.646599
4X,29.610036,-82.244215
4X,29.652412,-82.30979
4X,29.615646,-81.975473
4X,29.624295,-81.930176
4X,29.630554,-81.740765
4X,35.057813,-78.876529
4X,35.042303,-78.795813
4X,35.042576,-78.775148
4X,34.964678,-78.849134
4X,34.851521,-79.04447
4X,34.79964,-78.907977
4X,34.805996,-78.884074
4X,34.866685,-77.882982
4X,34.61356,-77.782587
4X,34.656404,-78.493049
4X,34.553387,-78.254495
4X,34.50187,-79.111646
4X,34.076424,-77.894628
4X,34.041226,-77.896002
4X,33.958734,-78.07501
4X,34.697607,-79.527118
4X,34.502269,-79.86168
4X,34.34784,-80.104212
4X,34.448432,-80.265505
4X,34.437354,-80.287521
4X,34.40565,-80.362051
4X,34.35877,-80.452059
4X,34.29867,-80.55097
4X,34.280004,-80.559274
4X,33.982794,-81.09398
4X,34.035944,-81.003655
4X,33.97575,-81.128109
4X,33.976895,-81.344135
4X,33.822995,-81.628356
4X,33.808982,-81.63445
4X,33.889416,-81.162162
4X,33.572222,-81.707039
4X,33.571984,-81.55246
4X,33.514182,-79.086768
4X,33.510333,-79.252075
4X,33.373633,-79.822779
