cytotype,lat,lon
2X,35.085629,-79.428543
2X,35.143899,-78.966303
2X,35.253418,-79.030944
2X,35.072211,-79.431094
2X,34.974902,-79.654324
2X,35.112591,-79.386016
2X,35.000207,-79.210306
2X,35.305147,-78.781391
2X,35.05706,-79.501005
2X,34.810093,-79.06226
2X,34.954675,-79.220895
2X,34.943432,-79.446673
2X,35.504613,-78.813916
2X,35.253396,-79.031059
2X,35.142741,-78.966518
2X,35.113715,-79.386016
2X,35.085629,-79.428543
2X,34.954675,-79.220895
2X,35.000207,-79.210306
2X,35.072211,-79.431094
2X,35.05706,-79.501005
2X,34.974902,-79.654324
2X,34.943432,-79.446673
2X,34.810093,-79.06226
2X,34.874473,-79.658331
2X,34.827989,-79.591719
2X,34.618538,-79.877121
2X,34.624627,-80.084345
2X,34.522147,-80.037214
2X,34.381971,-80.076904
2X,34.42847,-80.187742
